#Firmware: MS2/Extra release 3.3.1  20131206 18:45GMT(c)KC/JSM/JB   MS2
ToothTime,Time
ms,ms
0.8712,1113.604
0.87252,1114.4766
0.87252,1115.3491
0.87186,1116.221
0.87054,1117.0914
0.8712,1117.9626
0.86988,1118.8325
0.86658,1119.6991
0.86526,1120.5643
0.86262,1121.427
0.86196,1122.289
0.86262,1123.1516
0.86064,1124.0122
0.8613,1124.8735
0.85932,1125.7329
0.85932,1126.5923
0.85866,1127.4509
0.87252,1128.3235
0.84282,1129.1663
0.86196,1130.0282
0.86262,1130.8909
0.86394,1131.7548
0.86592,1132.6207
0.86658,1133.4873
0.86922,1134.3566
0.87054,1135.227
0.87054,1136.0975
0.87252,1136.9701
0.87054,1137.8406
0.8712,1138.7118
0.8712,1139.583
0.8712,1140.4542
0.87318,1141.3274
0.8745,1142.2019
2.5938,1144.7957
0.8844,1145.68
0.85998,1146.54
0.86064,1147.4006
0.85998,1148.2606
0.8613,1149.122
0.86064,1149.9825
0.85866,1150.8412
0.85932,1151.7006
0.85932,1152.5599
0.85866,1153.4186
0.86988,1154.2885
0.84876,1155.1372
0.85998,1155.9972
0.8613,1156.8585
0.8613,1157.7198
0.86592,1158.5858
0.86658,1159.4524
0.86592,1160.3184
0.86988,1161.1882
0.86922,1162.0575
0.86922,1162.9268
0.86988,1163.7966
0.86988,1164.6665
0.8712,1165.5377
0.87252,1166.4103
0.8712,1167.2815
0.8712,1168.1527
0.8712,1169.0239
0.87054,1169.8944
0.87054,1170.7649
0.86724,1171.6321
0.86592,1172.498
0.86394,1173.3619
0.86262,1174.2246
0.86394,1175.0885
0.86196,1175.9504
0.86196,1176.8124
0.86064,1177.673
0.8613,1178.5343
0.85932,1179.3937
0.8745,1180.2682
0.84546,1181.1136
0.86196,1181.9756
0.86592,1182.8416
0.8646,1183.7062
0.8679,1184.5741
0.86922,1185.4434
0.86988,1186.3132
0.87252,1187.1858
0.87252,1188.0583
0.87318,1188.9315
0.87252,1189.8041
0.87186,1190.6759
0.87186,1191.5477
0.87054,1192.4182
0.87252,1193.2908
0.87186,1194.1626
2.57796,1196.7406
0.87978,1197.6204
0.85404,1198.4744
0.8547,1199.3291
0.85602,1200.1852
0.85602,1201.0413
0.85668,1201.898
0.85536,1202.7533
0.8547,1203.608
0.85602,1204.4641
0.85536,1205.3195
0.86592,1206.1854
0.84546,1207.0309
0.85536,1207.8862
0.85668,1208.7429
0.85734,1209.6002
0.86064,1210.4608
0.86196,1211.3228
0.8613,1212.1841
0.86394,1213.048
0.8646,1213.9126
0.8646,1214.7772
0.86526,1215.6425
0.86592,1216.5084
0.86592,1217.3744
0.8679,1218.2423
0.8679,1219.1102
0.86592,1219.9762
0.86592,1220.8422
0.86658,1221.7087
0.86394,1222.5726
0.86262,1223.4353
0.85998,1224.2953
0.85734,1225.1526
0.85668,1226.0093
0.85668,1226.866
0.85602,1227.722
0.85602,1228.5781
0.85338,1229.4315
0.85536,1230.2869
0.85338,1231.1403
0.86658,1232.0068
0.83952,1232.8463
0.85536,1233.7017
0.85734,1234.559
0.85866,1235.4176
0.85998,1236.2776
0.8613,1237.1389
0.86328,1238.0022
0.8646,1238.8668
0.86592,1239.7328
0.86592,1240.5988
0.8646,1241.4634
0.86592,1242.3293
0.86526,1243.1946
0.8646,1244.0592
0.86724,1244.9264
0.8679,1245.7943
2.57202,1248.3663
0.87912,1249.2455
0.85338,1250.0989
0.85404,1250.9529
0.85536,1251.8082
0.85602,1252.6643
0.8547,1253.519
0.85404,1254.373
0.85338,1255.2264
0.85338,1256.0798
0.85404,1256.9338
0.86262,1257.7965
